mainRibbonTabWorkbenchCapture;Werkbank
EditProductTabGeneralGroupProjectPackagePriceLabel;Kostprijs per verpakking
EditProductTabGeneralGroupProjectPackagePricePrefixLabel;Kostprijs per
EditProductTabGeneralGroupProjectPackagePriceTag;Verpakkingsprijs
EditProductTabGeneralGroupProjectPackagePriceTooltip;Wat is de kostprijs ver verpakking (Kostprijs x besteld per) van dit produkt, voor de calculaties
EditProductTabGeneralGroupProjectProjectCostsLabel;Project kosten
EditProductTabGeneralGroupProjectProjectCostsTag;Project Kosten
EditProductTabGeneralGroupProjectProjectCostsTooltip;Moet dit produkt worden meegerekend bij de project kosten
EditProductTabMemoLabel;Aanvullende informatie
EditProductTabSupplierLabel;Leveranciers
EditProductTabSupplierActionTooltipAdd;Produkt leverancier toevoegen aan de tabel
EditProductTabSupplierActionTooltipDelete;Geselecteerde leverancier verwijderen uit de tabel (voor het geselecteerde product)
EditProductTabSupplierActionTooltipSave;Gewijzigde produkt leverancier opslaan
EditProductTabSupplierIdHeader;Id
EditProductTabSupplierProductIdHeader;ProductId
EditProductTabSupplierSupplierIdHeader;LeverancierId
EditProductTabSupplierCurrencyIdHeader;ValutaId
EditProductTabSupplierDefaultSupplierHeader;Std
EditProductTabSupplierSupplierHeader;Leverancier
EditProductTabSupplierProductNumberHeader;Artikelnummer
EditProductTabSupplierPriceHeader;Prijs
EditProductTabSupplierGroupGeneralTitleHeader;Product informatie per leverancier
EditProductTabSupplierGroupGeneralSupplierLabel;Leverancier
EditProductTabSupplierGroupGeneralSupplierTag;Selecteer leverancier
EditProductTabSupplierGroupGeneralSupplierTooltip;Selecteer de leverancier die dit product levert
EditProductTabSupplierGroupGeneralSupplierOrderTag;Selecteer bestelling
EditProductTabSupplierGroupGeneralSupplierOrderTooltip;Selecteer eventueel een bestaande bestelling
EditProductTabSupplierGroupGeneralProductNumberSupplierLabel;Artikelnummer leverancier
EditProductTabSupplierGroupGeneralProductNumberSupplierTag;Artikelnummer leverancier
EditProductTabSupplierGroupGeneralProductNumberSupplierTooltip;Selecteer de leverancier die dit product levert
